text,label,cluster
"Specjalista ds. Obsługi Klienta i Sprzedaży Produktów Finansowych  Zakres obowiązków: - Profesjonalna obsługa klientów w placówce oraz telefoniczna - Aktywne pozyskiwanie nowych klientów oraz utrzymanie relacji z bieżącymi - Kompleksowe doradztwo finansowe w zakresie oferowanych produktów i usług - Sprzedaż produktów bankowych (kredyty, lokaty, konta, ubezpieczenia) zgodnie z potrzebami klientów - Realizacja planów sprzedażowych oraz dbanie o wysoką jakość obsługi - Kształtowanie pozytywnego wizerunku firmy  Nasze wymagania: - Minimum średnie wykształcenie - Doświadczenie w pracy z klientem, preferowane w obszarze finansowym - Komunikatywność, otwartość i umiejętność nawiązy",1,0
"Samodzielna Księgowa  Twój zakres obowiązków: - Księgowanie dokumentów - Rozliczanie produkcji w toku oraz produkcji gotowej - Analiza i rozliczanie wyznaczonych kont analitycznych - Odpowiedzialność za zarządzanie projektami - Przegląd wyników oraz za wdrażanie zasad należytej staranności w zakresie rozliczania podatku VAT, CIT oraz bieżącej sprawozdawczości - Współpraca z zespołem administracyjnym oraz innymi działami począwszy od budowania strategii działu finansowo-księgowego, planowania realizacji strategii i sprawozdawczości - Przeprowadzanie na czas analizy i raportowania danych w celu umożliwienia podejmowania strategicznych decyzji - Łączność i współpraca z innymi zespołami w celu wykorzystania potencjalnych możliwości usprawnień i koordynacja z innymi funkcjami w celu zebrania i dostarczenia odpowiednich informacji zespołom - Budowanie procesów dla realizacji zaangażowanie wsparcie i pomoc innym pracownikom firmy w gromadzeniu najlepszych praktyk i zapewnieniu spójności podatkowo-operacyjnej  Nasze wymagania: - Wykształcenie wyższe, preferowane kierunkowe rachunkowość - Doświadczenie pracy na stanowisku samodzielnej księgowej w firmie produkcyjnej - Biegła znajomość obszaru księgowości i podatków spółek akcyjnych oraz współpracy z biegłym rewidentem - Znajomość systemu Enova365 - Znajomość metod prezentacji oraz sporządzania sprawozdania finansowego - Umiejętność adaptacji do nowych technologii oraz zarządzania projektami  To oferujemy: - Umowę o pracę lub umowę B2B w stabilnej i szybko rozwijającej się polskiej firmie - Wynagrodzenie uzależnione od kompetencji i doświadczenia - Możliwość implementacji własnych pomysłów i rozwiązań",1,0
"Specjalista ds. Obsługi Klienta  Twój zakres obowiązków: - Obsługa klientów indywidualnych i biznesowych telefonicznie, e-mailowo i osobiście - Wprowadzenie danych klientów do systemu - Przygotowywanie dokumentów i faktur - Udzielanie informacji o ofercie firmy i produktach - Zarządzanie zamówieniami, obsługa reklamacji i zwrotów  Nasze wymagania: - Wykształcenie średnie lub wyższe - Doświadczenie w obsłudze klienta - Znajomość języka angielskiego na poziomie B1 - Umiejętność obsługi komputera i pakietu MS Office - Komunikatywność, sumienność i zaangażowanie  To oferujemy: - Umowę o pracę w pełnym wymiarze godzin - Pracę w dynamicznym i zgranym zespole - Możliwość zdobycia doświadczenia i rozwoju zawodowego - Pakiet socjalny (karta sportowa, prywatna opieka medyczna)",1,0
"Asystent ds. Marketingu   Twój zakres obowiązków: - Wsparcie działu marketingu w realizacji bieżących projektów i kampanii - Planowanie i koordynowanie działań promocyjnych oraz eventów firmowych - Tworzenie i aktualizacja treści na stronie internetowej oraz w mediach społecznościowych - Monitorowanie rynku i analiza działań konkurencji - Wsparcie w tworzeniu materiałów promocyjnych (ulotki, katalogi, banery)  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: marketing, zarządzanie, komunikacja) - Doświadczenie w pracy na podobnym stanowisku - Znajomość języka angielskiego na poziomie B2 - Umiejętność obsługi pakietu Adobe (Photoshop, Illustrator, InDesign) - Kreatywność, zaangażowanie, dobra organizacja pracy  To oferujemy: - Umowę o pracę na pełen etat - Pracę w innowacyjnej firmie o ugruntowanej pozycji na rynku - Możliwość rozwoju zawodowego - Elastyczne godziny pracy i możliwość pracy zdalnej",1,0
"Specjalista ds. Sprzedaży  Twój zakres obowiązków: - Pozyskiwanie nowych klientów i utrzymywanie relacji z istniejącymi - Przygotowywanie i realizacja planów sprzedażowych - Analiza rynku i identyfikacja potrzeb klientów - Przygotowywanie ofert handlowych i negocjowanie warunków współpracy - Raportowanie wyników pracy i osiąganych celów sprzedażowych  Nasze wymagania: - Wykształcenie średnie lub wyższe (preferowane kierunki: ekonomia, zarządzanie) - Doświadczenie w pracy na podobnym stanowisku (min. 2 lata) - Znajomość języka angielskiego na poziomie B2 - Umiejętność obsługi MS Office - Samodzielność, komunikatywność i umiejętność pracy pod presją czasu  To oferujemy: - Umowę o pracę na pełen etat - Atrakcyjne wynagrodzenie (podstawa + prowizja od sprzedaży) - Praca w dynamicznie rozwijającej się firmie - Samochód służbowy, telefon, laptop",1,0
" Specjalista ds. HR i Rekrutacji  Twój zakres obowiązków: - Prowadzenie procesów rekrutacyjnych na różne stanowiska - Współpraca z kierownikami działów w zakresie identyfikacji potrzeb kadrowych - Opracowywanie i aktualizacja opisów stanowisk oraz reklam pracy - Organizowanie i udział w targach pracy oraz innych wydarzeniach rekrutacyjnych - Monitorowanie rynku pracy i podnoszenie atrakcyjności pracodawcy  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: psychologia, zarządzanie, ekonomia) - Min. 2-letnie doświadczenie pracy w dziale HR lub rekrutacji - Znajomość technik selekcji i oceny kandydatów - Znajomość przepisów prawa pracy - Komunikatywność, zdolność pracy w zespole, elastyczność  To oferujemy: - Umowę o pracę na pełen etat - Możliwość rozwoju w międzynarodowej organizacji o uznanej pozycji na rynku - Pakiet socjalny (karta sportowa, opieka medyczna, ubezpieczenie na życie) - Szanse na podnoszenie kwalifikacji i uczestnictwo w szkoleniach branżowych",1,0
"Programista Java  Twój zakres obowiązków: - Projektowanie i implementacja oprogramowania w języku Java - Utrzymywanie i rozbudowa istniejących aplikacji - Pisanie testów jednostkowych i integracyjnych - Wsparcie techniczne i szkolenia dla użytkowników końcowych - Współpraca z zespołem programistów oraz innymi działami firmy  Nasze wymagania: - Wykształcenie wyższe informatyczne lub pokrewne - Doświadczenie w programowaniu w języku Java (min. 2 lata) - Znajomość frameworków Spring, Hibernate - Dobra znajomość języka angielskiego - Umiejętność pracy w zespole, analityczne myślenie, samodzielność  To oferujemy: - Umowę o pracę lub B2B - Pracę przy interesujących i innowacyjnych projektach - Elastyczne godziny pracy i możliwość pracy zdalnej - Szkolenia i certyfikacje branżowe - Pakiet socjalny (karta sportowa, prywatna opieka zdrowotna)",1,0
"Specjalista ds. Logistyki  Twój zakres obowiązków: - Planowanie i organizacja transportu krajowego i międzynarodowego - Nadzorowanie realizacji dostaw i monitorowanie terminowości - Współpraca z dostawcami usług logistycznych oraz kontrola jakości usług - Optymalizacja procesów logistycznych w celu minimalizacji kosztów - Utrzymywanie bieżącej dokumentacji w zakresie logistyki  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: logistyka, transport, zarządzanie) - Doświadczenie w pracy na podobnym stanowisku (min. 2 lata) - Znajomość przepisów dotyczących transportu i spedycji - Znajomość języka angielskiego na poziomie B2 - Umiejętność obsługi programów logistycznych i MS Office  To oferujemy: - Umowę o pracę na pełen etat - Pracę w stabilnej i dynamicznie rozwijającej się firmie - Możliwość zdobycia doświadczenia w międzynarodowym środowisku - Atrakcyjny pakiet socjalny (karta sportowa, prywatna opieka medyczna, ubezpieczenie na życie",1,0
"Grafik Komputerowy  Twój zakres obowiązków: - Projektowanie i tworzenie grafik, ilustracji, infografik oraz materiałów reklamowych - Przygotowanie materiałów do druku - Współpraca z działem marketingu i sprzedaży - Utrzymywanie i aktualizacja wizerunku firmy w mediach i na stronie internetowej - Tworzenie prezentacji multimedialnych  Nasze wymagania: - Wykształcenie wyższe lub średnie (preferowane kierunki: grafika, sztuka) - Min. 2-letnie doświadczenie pracy jako grafik komputerowy - Umiejętność obsługi Adobe Creative Suite (Illustrator, Photoshop, InDesign) - Znajomość zasad kompozycji i typografii - Kreatywność, samodzielność, dobry kontakt z klientem  To oferujemy: - Umowę o pracę lub B2B na pełen etat - Pracę w kreatywnym zespole i przy interesujących projektach - Możliwość zdobywania doświadczenia i rozwijania umiejętności - Elastyczność w godzinach pracy",1,0
"Doradca Finansowy  Twój zakres obowiązków: - Budowanie i utrzymywanie relacji z klientami - Doradztwo w zakresie produktów finansowych (kredyty, inwestycje, ubezpieczenia) - Analiza potrzeb i sytuacji finansowej klientów - Realizacja celów sprzedażowych - Raportowanie wyników i analiza efektywności działań  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: finanse, bankowość, ekonomia) - Doświadczenie w pracy na podobnym stanowisku lub w branży finansowej - Znajomość produktów finansowych i przepisów prawa bankowego - Umiejętność nawiązywania i budowania relacji z klientami - Znajomość języka angielskiego na poziomie B1  To oferujemy: - Umowę o pracę na pełen etat - Atrakcyjne wynagrodzenie (podstawa + prowizje od sprzedaży) - Możliwość rozwoju zawodowego w renomowanej instytucji finansowej - Szkolenia branżowe i możliwość zdobycia certyfikatów",1,0
